neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,guests_included,extra_people,minimum_nights
43,1,2,6,1.0,2.0,4.0,3,9853.0,6569.0,1,2190.0,3
45,14,2,4,1.0,1.0,3.0,3,10948.0,5474.0,3,0.0,1
43,1,2,6,1.0,2.0,4.0,3,12590.0,6569.0,1,2737.0,1
42,14,2,2,1.0,1.0,2.0,3,9962.0,4000.0,1,0.0,3
45,1,0,2,1.0,1.0,1.0,3,28026.0,0.0,1,0.0,3
51,14,2,2,2.0,1.0,2.0,3,3175.0,3000.0,1,3000.0,3
45,1,2,3,1.0,1.0,3.0,3,6021.0,0.0,1,5980.0,2
45,1,2,3,1.0,1.0,3.0,3,6021.0,0.0,1,5980.0,2
43,1,0,6,1.0,2.0,3.0,3,13137.0,6569.0,2,2737.0,3
19,14,0,5,2.0,2.0,4.0,3,13028.0,6000.0,3,3000.0,3
45,14,2,3,1.0,1.0,2.0,3,8320.0,5474.0,2,0.0,1
30,1,0,9,1.0,3.0,2.0,3,14013.0,5000.0,4,1500.0,2
46,1,0,5,1.0,1.0,3.0,3,10948.0,6500.0,2,3000.0,1
46,1,0,4,1.0,1.0,3.0,3,16422.0,6500.0,2,3000.0,1
43,14,2,4,2.0,1.0,0.0,3,27041.0,7500.0,2,5000.0,1
45,1,2,3,1.0,1.0,3.0,3,6021.0,0.0,1,5980.0,2
43,14,0,6,1.5,2.0,4.0,3,29011.0,15000.0,3,3500.0,3
18,1,0,2,1.0,1.0,0.0,3,5474.0,4100.0,2,2000.0,1
18,1,0,2,1.5,1.0,0.0,3,5145.0,4100.0,1,1500.0,1
8,1,0,3,1.5,1.0,4.0,3,5255.0,6569.0,1,2627.0,2
3,1,0,2,1.0,1.0,2.0,3,2518.0,1000.0,1,2000.0,1
46,1,2,5,1.0,1.0,4.0,3,6459.0,6500.0,2,3000.0,1
42,14,0,2,1.0,2.0,2.0,3,7992.0,2000.0,1,1500.0,2
20,1,0,5,1.0,1.0,5.0,3,5474.0,4379.0,4,1642.0,3
42,14,2,2,1.0,1.0,1.0,3,7882.0,4379.0,1,5474.0,1
45,1,2,1,1.0,1.0,1.0,3,6021.0,0.0,1,0.0,2
45,1,2,4,1.0,1.0,4.0,3,4926.0,0.0,1,4980.0,2
46,1,0,3,1.0,1.0,3.0,3,8101.0,4500.0,1,5000.0,3
46,1,0,2,1.0,1.0,1.0,3,8539.0,3000.0,1,1500.0,3
46,1,0,4,1.0,1.0,2.0,3,13028.0,8500.0,2,2000.0,3
43,14,0,8,1.5,3.0,6.0,3,28026.0,15078.0,3,3000.0,3
43,22,0,5,1.0,2.0,3.0,3,10619.0,6569.0,2,2737.0,3
44,14,2,2,2.0,1.0,2.0,3,3941.0,1500.0,1,2500.0,2
44,7,0,5,1.5,2.0,4.0,3,24961.0,7000.0,2,3000.0,1
33,1,0,2,1.0,1.0,1.0,3,5474.0,5693.0,1,2190.0,3
42,15,2,2,1.5,1.0,2.0,3,6021.0,1800.0,1,1500.0,2
25,14,0,3,1.0,1.0,3.0,3,7992.0,5000.0,2,2500.0,1
20,1,0,5,1.0,1.0,5.0,3,4270.0,4379.0,4,1642.0,3
46,1,0,5,1.0,1.0,2.0,3,13466.0,8500.0,2,2000.0,3
46,1,0,4,1.0,1.0,1.0,3,16969.0,8500.0,2,2000.0,3
18,1,0,5,1.0,1.0,5.0,3,3941.0,4379.0,4,1642.0,3
30,1,0,2,1.0,1.0,2.0,3,20034.0,6000.0,1,4000.0,3
33,1,0,2,1.0,1.0,1.0,3,5474.0,5693.0,1,2190.0,3
30,1,0,4,1.0,2.0,4.0,3,22005.0,7000.0,1,4000.0,3
44,14,2,3,1.0,1.0,1.0,3,7992.0,3000.0,1,2500.0,1
3,1,0,2,1.0,1.0,1.0,3,9525.0,4000.0,1,1500.0,3
3,1,0,2,1.0,1.0,1.0,3,9525.0,4000.0,1,1500.0,3
51,23,0,7,1.0,3.0,4.0,3,19706.0,7554.0,4,1642.0,2
49,1,0,5,1.0,1.0,2.0,3,9962.0,4500.0,2,2000.0,2
33,14,2,5,1.0,1.0,4.0,3,7554.0,4000.0,2,3500.0,1
12,24,0,6,1.0,2.0,5.0,3,12042.0,5000.0,2,3000.0,2
18,1,0,6,1.0,3.0,3.0,3,13028.0,4000.0,1,3000.0,1
20,1,0,5,1.0,1.0,4.0,3,4489.0,4379.0,4,1642.0,3
43,1,0,3,1.0,1.0,2.0,3,6459.0,4500.0,1,1500.0,2
49,14,0,6,1.0,3.0,3.0,3,15984.0,6500.0,2,3500.0,2
43,1,0,2,1.0,1.0,2.0,3,4489.0,4500.0,1,1500.0,1
43,1,0,2,1.0,1.0,2.0,3,6021.0,4500.0,1,1500.0,1
8,14,2,4,1.0,1.0,4.0,3,5036.0,2500.0,2,1500.0,3
45,1,0,4,1.0,1.0,3.0,3,12042.0,3000.0,4,4000.0,3
49,1,0,4,1.0,1.0,4.0,3,8211.0,3284.0,3,1095.0,3
33,1,0,2,1.0,1.0,1.0,3,5474.0,5693.0,1,2190.0,3
25,14,0,4,1.0,2.0,2.0,3,9962.0,5000.0,3,2000.0,1
33,14,2,1,1.0,1.0,1.0,3,3284.0,2160.0,1,0.0,3
16,14,2,3,1.0,1.0,3.0,3,20034.0,3500.0,5,0.0,1
33,14,2,2,1.0,1.0,1.0,3,3941.0,2500.0,1,2300.0,1
4,14,0,7,1.0,2.0,5.0,3,25946.0,14000.0,3,4000.0,3
43,1,0,4,1.0,0.0,1.0,3,34923.0,6588.0,2,1900.0,2
33,1,0,2,1.0,1.0,1.0,3,6021.0,5693.0,1,2627.0,3
43,1,0,4,1.0,0.0,1.0,3,33719.0,6588.0,2,1900.0,2
29,1,0,5,1.0,2.0,2.0,3,28026.0,6000.0,1,0.0,2
33,1,0,2,1.0,1.0,1.0,3,5474.0,5693.0,1,2190.0,3
33,1,0,2,1.0,1.0,1.0,3,6021.0,5693.0,1,2627.0,3
